rom,devices,thumbnail,site
OCT-N,,,
,"a6000,angler,armani,athene,axon7,bacon,bullhead,cancro,cedric,cheeseburger,d2att,d2spr,d2tmo,d2vzw,d850,d851,d855,gemini,hammerhead,i9100,kenzo,ls990,mido,oneplus2,oneplus3/3T,potter,s2,sailfish,serranoltexx,serranodsdd,serrano3gxx,serranolteusc,shamu,surnia,tomato,vs985,wt88047,wt86528,z008,z00a,Z00L,Z00T,z2_plus,merlin",Octos-300.png (https://dl.airtable.com/M1LXV67lQEKEyRr4khu3_Octos-300.png),teamoctos.com
XenonHD,"Z00L,Z00T,z00ed,kiwi,m7,m8,s2,a6000,A7010a48,d855,mako,bullhead,surnia,falcon,titan,athene,potter,lux,addison,oneplus2,oneplus3,bacon,onyx,i9100,i9300,jfltexx,jfvelte,n7100,lt01wifi,yuga,odin,cancro,armani,wt88047,kenzo,lettuce,tomato",download.jpg (https://dl.airtable.com/OtBY5yaaQymx07djjwYj_download.jpg),xenonhd.com
ViperOS,"Z010D,kiwi,bullhead,A7010a48,A6020,a6000,d855,condor,falcon,peregrine,titan,thea,osprey,merlin,athene,potter,victara,griffin,addison,harpia,oneplus2,oneplus3,j5ltexx,cancro,ido,kenzo,mido,wt88047",banner.jpg (https://dl.airtable.com/I4KAz8ZaREaw1BMPylZn_banner.jpg),viper-os.com
DarkNess reDefined,"kenzo,bacon,Z00L,tomato,gemini,ham,osprey,lettuce,cancro,s2,mido,hydrogen,titan,athene,aio_otfp,A7010a48,karate,oneplus2,addison,wt88047,taido_row",24863317.png (https://dl.airtable.com/388uvC0TambElirn4Ecw_24863317.png),plus.google.com/communities/102951559675870137271
XOSP,,,
,"z008,z00a,angler,armani,dogo,huashan,kenzo,libra,lux,m7,mako,onyx,yuga",download (2).png (https://dl.airtable.com/GY5txBVQu2uMX1GDy750_download%20(2).png),cyanogenmods.org/crdroid-nougat-7-1-rom-devices-list
Pure Nexus - Coming soon,"bullhead,shamu,angler,sailfish,marlin",download.png (https://dl.airtable.com/cya0n70JR7CtDPyoWY4d_download.png),plus.google.com/communities/103055954354785266764
Vertex OS - Coming soon,"oneplus3,oneplus2,onyx,prada",Dr7Gpfd.png (https://dl.airtable.com/wFW6hu61QS2krAN8XE3R_Dr7Gpfd.png),vertexos.org
Cosmic OS - Coming soon,"lettuce,tomato,garlic,bacon,oneplus2,onyx,oneplus3,titan,osprey,merlin,athene,potter,Z00L,bullhead,j5ltexx,kenzo,wt88047,A7010a48,a6000",logo.png (https://dl.airtable.com/Ex4q47jHQ26CJHXjMwMw_logo.png),cosmic-os.com
Dark ROM - Future,,,
Dirty Unicorns - Future,,photo.jpg (https://dl.airtable.com/PjTPoPJTNWdwYT6bb9qg_photo.jpg),dirtyunicorns.com
OwnROM - Future,,H6D8VFS.png (https://dl.airtable.com/XFMwZwZiRVypMgLwJ4t4_H6D8VFS.png),ownrom.netlify.com
AOSiP - Future,,Dr6rSI1.png (https://dl.airtable.com/wiGGxSYOQl50FVILDiqg_Dr6rSI1.png),plus.google.com/communities/111510412594093155165
Xperience - Future,,download (1).png (https://dl.airtable.com/OtGwxF8LQg6Sp2dIjAxC_download%20(1).png),thexperienceproject.com
Validus - Future,,maxresdefault.jpg (https://dl.airtable.com/3aVTezNDQ0TDIoXyJI5w_maxresdefault.jpg),
Tipsy - Future,,,
Tesla - Future,,,
MoKee - Future,,,
CyberOS - Future,,,
Slim7 - Future,,,
OmniROM - Future,,,
CarbonROM - Future,,Cover_Google.jpg (https://dl.airtable.com/WU1snOAUR7yudMmlQ3su_Cover_Google.jpg),carbonrom.org
Beanstalk - Future,,,
AOSGP X - Future,,,
NucleaROM - Future,,,
AIM ROM - Future,,,
HalogenOS - Future,,,
Liquid Dark - Future,,,
AquariOS - Future,,,
ZephyrOS - Future,,,
HexagonROM - Future,,,
DominionOS - Future,,,
FireHound - Future,,,
Candy7 - Future,,,
CaldinalAOSP - Future,,,
CitrusCAF - Future,,,
Invicta OS - Future,,,
Screw'd - Future,,ScrewdAndroid4_resized-e1480525006874.png (https://dl.airtable.com/aCbu4sZaRVqb681fIuzT_ScrewdAndroid4_resized-e1480525006874.png),http://screwdandroid.com/
LegendROM - Future,,,
EmotionOS - Future,,,
NX - Future,,,
OXI - Future,,,
